bid,diff,"book_fee","airline_fee","fee_percent","pax_number","number_of_segments","real_price","expected_price"
56614624,"-6",6,0,0,1,1,"139.74000549316406","145.74000549316406"
56614008,"-9.9399995803833",6,0,0,2,1,"376.0400085449219","385.9800109863281"
56609762,"-6",6,0,0,1,1,"109.8499984741211","115.8499984741211"
56603899,"-10.420000076293945",6,0,0,2,1,"183.4199981689453","193.83999633789062"
56597596,"-6",6,0,0,1,1,"412.1099853515625","418.1099853515625"
56582427,"-16.309999465942383",6,0,0,1,1,"163.4199981689453","179.72999572753906"
56563298,"-4.880000114440918",6,0,0,1,1,"56.349998474121094","61.22999954223633"
56562495,"0.9900000095367432",6,0,0,2,1,"574.1099853515625","573.1199951171875"
56549394,"-5.329999923706055",6,0,0,1,1,"102.2300033569336","107.55999755859375"
56532806,"-13.930000305175781",6,0,0,1,1,"314.54998779296875","328.4800109863281"
56532388,"-6.840000152587891",6,0,0,1,1,"120.33999633789062","127.18000030517578"
56522994,"1.0099999904632568",6,0,0,2,1,"649.6500244140625","648.6400146484375"
56510740,"-5.519999980926514",6,0,0,1,1,"89.95999908447266","95.4800033569336"
56507572,"-10.75",12,0,0,1,2,"123.45999908447266","134.2099952697754"
56507242,"-5.860000133514404",6,0,0,1,1,"53.93000030517578","59.790000915527344"
56506406,"-5.110000133514404",6,0,0,1,1,"87.36000061035156","92.47000122070312"
56505416,"-5.119999885559082",6,0,0,2,1,"104.69999694824219","109.81999969482422"
56504239,"-10",6,0,0,2,1,"169.44000244140625","179.44000244140625"
56503480,"-5.860000133514404",6,0,0,1,1,"81.23999786376953","87.0999984741211"
56501632,"-18.860000610351562",6,0,0,4,1,"818.4199829101562","837.280029296875"
56499278,"24.600000381469727",12,0,0,1,2,"166.0399932861328","141.44000244140625"
56497320,"-6.800000190734863",6,0,0,2,1,"235.5800018310547","242.3800048828125"
56495285,"-5.079999923706055",6,0,0,1,1,"132.77000427246094","137.85000610351562"
56493580,"-5.480000019073486",6,0,0,1,1,"89.95999908447266","95.44000244140625"
56493371,"-5.199999809265137",6,0,0,1,1,"132.77000427246094","137.97000122070312"
56489983,"-10.460000038146973",6,0,0,2,1,"318.32000732421875","328.7799987792969"
56485000,"-18.889999389648438",6,0,0,1,1,"69.80999755859375","88.69999694824219"
56484021,"24.760000228881836",12,0,0,1,2,"166.36000061035156","141.60000610351562"
56483944,"-8.350000381469727",6,0,0,1,1,"287.760009765625","296.1099853515625"
56483768,"-22.43000030517578",6,0,0,1,1,"158.02999877929688","180.4600067138672"
56482668,"-4.420000076293945",6,0,0,1,1,"82.95999908447266","87.37999725341797"
56482514,"-12.519999980926514",12,0,0,1,2,"437.8000030517578","450.3199920654297"
56482085,"-8.130000114440918",6,0,0,1,1,"286.8599853515625","294.989990234375"
56481997,"-22.84000015258789",6,0,0,2,1,"354.05999755859375","376.8999938964844"
56480710,"-53.5",12,0,0,2,2,"809.5800170898438","863.0799865722656"
56480556,"-71.44000244140625",6,0,0,2,1,"179.9199981689453","251.36000061035156"
56479489,"-11.239999771118164",6,0,0,2,1,"163.66000366210938","174.89999389648438"
56478829,"-59.68000030517578",12,0,0,2,2,"797.9199676513672","857.5999755859375"
56478158,"-5.690000057220459",6,0,0,1,1,"210.74000549316406","216.42999267578125"
56477311,"-5.909999847412109",6,0,0,1,1,"68.11000061035156","74.0199966430664"
56465849,"17.1200008392334",6,0,0,4,1,"427.8800048828125","410.760009765625"
56453067,"-41.310001373291016",6,0,0,1,1,"96.83999633789062","138.14999389648438"
56446324,"-7.570000171661377",6,0,0,1,1,"247.52000427246094","255.08999633789062"
56445433,"-11.229999542236328",6,0,0,1,1,"95.83999633789062","107.06999969482422"
56444190,"-6",6,0,0,1,1,"248.92999267578125","254.92999267578125"
56443992,"-13.950000286102295",12,0,0,1,2,"215.4199981689453","229.37000274658203"
56437073,"-8.109999656677246",6,0,0,1,1,"115.76000213623047","123.87000274658203"
56429725,"-12.300000190734863",6,0,0,2,1,"90.9800033569336","103.27999877929688"
56426997,"-5.059999942779541",6,0,0,1,1,"118.16999816894531","123.2300033569336"
56426931,"-12.380000114440918",6,0,0,2,1,"93.19999694824219","105.58000183105469"
56420320,0,6,0,0,1,1,0,"449.7900085449219"
56418538,"-2.3299999237060547",6,0,0,1,1,"327.17999267578125","329.510009765625"
56418197,"-6",6,0,0,1,1,"100.54000091552734","106.54000091552734"
56417185,"-5.710000038146973",6,0,0,1,1,"89.95999908447266","95.66999816894531"
56416008,"-6.170000076293945",6,0,0,1,1,"53.810001373291016","59.97999954223633"
56410860,"-12.600000381469727",6,0,0,2,1,"171.5800018310547","184.17999267578125"
56410596,"-5.559999942779541",6,0,0,1,1,"91.55999755859375","97.12000274658203"
56410486,"-8.739999771118164",6,0,0,2,1,"162.6199951171875","171.36000061035156"
56410343,"-22.239999771118164",6,0,0,4,1,"365.1199951171875","387.3599853515625"
56409496,"-6",6,0,0,1,1,"85.16000366210938","91.16000366210938"
56407989,"-6.289999961853027",6,0,0,1,1,"85.01000213623047","91.30000305175781"
56406229,"-6.510000228881836",6,0,0,1,1,"27.8700008392334","34.380001068115234"
56398089,"-13",6,0,0,2,1,"367.3399963378906","380.3399963378906"
56394338,"-11.520000457763672",6,0,0,1,1,"285.30999755859375","296.8299865722656"
56380489,"-7.639999866485596",6,0,0,1,1,"143.3800048828125","151.02000427246094"
56376925,"-10.800000190734863",12,0,0,1,2,"343.4399948120117","354.23999786376953"
56369731,"-34.38999938964844",6,0,0,4,1,"153.52999877929688","187.9199981689453"
56344057,"-11.429999828338623",12,0,0,1,2,"170.3300018310547","181.76000213623047"
56330824,"-5.190000057220459",6,0,0,1,1,"211.10000610351562","216.2899932861328"
56329262,"-14.390000343322754",6,0,0,1,1,"165.91000366210938","180.3000030517578"
56320044,"-35.25",6,0,0,1,1,"82.08999633789062","117.33999633789062"
56317734,"-38.59000015258789",6,0,0,2,1,"180.9499969482422","219.5399932861328"
56316436,"-1.409999966621399",6,0,0,1,1,"84.06999969482422","85.4800033569336"
56314027,"0.4099999964237213",6,0,0,2,1,"584.510009765625","584.0999755859375"
56311651,"-12.109999656677246",6,0,0,2,1,"278.3500061035156","290.4599914550781"
56309836,"-1.6399999856948853",6,0,0,1,1,"59.720001220703125","61.36000061035156"
56307966,"-52.58000183105469",6,0,0,2,1,"639.239990234375","691.8200073242188"
56303995,"-18.040000915527344",6,0,0,2,1,"111.45999908447266","129.5"
56298396,"-11.180000305175781",6,0,0,2,1,"413.0199890136719","424.20001220703125"
56293193,"-17.520000457763672",6,0,0,4,1,"929.2000122070312","946.719970703125"
56283920,"-10.329999923706055",6,0,0,1,1,"92.93000030517578","103.26000213623047"
56279080,"-7.880000114440918",6,0,0,1,1,"132.97000122070312","140.85000610351562"
56277199,"-14.760000228881836",6,0,0,1,1,"165.30999755859375","180.07000732421875"
56260710,"-7.869999885559082",6,0,0,1,1,"118.9800033569336","126.8499984741211"
56254550,"-23.360000610351562",6,0,0,1,1,"71.6500015258789","95.01000213623047"
56240536,"-16.860000610351562",6,0,0,1,1,"129.08999633789062","145.9499969482422"
56236862,"-76.55999755859375",6,0,0,3,1,"165.57000732421875","242.1300048828125"
56233903,"-47.970001220703125",6,0,0,1,1,"175.02999877929688",223
56233859,"-38.30000114440918",12,0,0,1,2,"274.75999450683594","313.05999755859375"
56233122,"-61.85999870300293",12,0,0,6,2,"1944.3599853515625","2006.219970703125"
56233100,"-12",6,0,0,2,1,"444.2200012207031","456.2200012207031"
56226830,"-22.15999984741211",6,0,0,1,1,"94.95999908447266","117.12000274658203"
56225224,"-11.940000057220459",12,0,0,1,2,"174.11000061035156","186.0500030517578"
56220692,"-39.880001068115234",6,0,0,2,1,"183.72000122070312","223.60000610351562"
56215830,"-6.949999809265137",6,0,0,1,1,"86.33000183105469","93.27999877929688"
56214686,"-6",6,0,0,1,1,"98.0999984741211","104.0999984741211"
56213135,0,6,0,0,1,1,0,"95.37000274658203"
56212794,"-14.4399995803833",6,0,0,3,1,"271.6400146484375","286.0799865722656"
56209791,"-5.119999885559082",6,0,0,1,1,"90.25","95.37000274658203"
56208526,"-7.78000020980835",6,0,0,1,1,"246.58999633789062","254.3699951171875"
56205699,"-44.02000045776367",6,0,0,2,1,"224.32000732421875","268.3399963378906"
56203378,"-3.6700000762939453",6,0,0,1,1,"177.3300018310547",181
56201299,"-5.650000095367432",6,0,0,1,1,"216.7899932861328","222.44000244140625"
56201288,"-21.1299991607666",6,0,0,1,1,117,"138.1300048828125"
56196294,"-39.93000030517578",6,0,0,2,1,"282.92999267578125","322.8599853515625"
56192268,"-22.60000228881836",12,0,0,2,2,"715.6799926757812","738.2799987792969"
56189606,"-4.809999942779541",6,0,0,1,1,"105.95999908447266","110.7699966430664"
56187879,"-6.349999904632568",6,0,0,2,1,"48.689998626708984","55.040000915527344"
56187175,"-5.650000095367432",6,0,0,1,1,"184.22999572753906","189.8800048828125"
56185327,"-58.040000915527344",6,0,0,4,1,"502.2799987792969","560.3200073242188"
56176615,"-23.56999969482422",6,0,0,4,1,"421.8699951171875","445.44000244140625"
56172710,"-23.229999542236328",6,0,0,1,1,"71.62000274658203","94.8499984741211"
56171555,"-81.38000106811523",12,0,0,2,2,"458.8999938964844","540.2799987792969"
56170818,"-7.769999980926514",6,0,0,1,1,"246.60000610351562","254.3699951171875"
56169993,"-27.289999961853027",12,0,0,1,2,"149.10000610351562","176.38999938964844"
56160368,"-5.760000228881836",6,0,0,1,1,"108.08000183105469","113.83999633789062"
56156870,"-6",6,0,0,1,1,"98.08999633789062","104.08999633789062"
56154703,"-24.809999465942383",6,0,0,1,1,"65.68000030517578","90.48999786376953"
56153922,"-6",6,0,0,1,1,"77.81999969482422","83.81999969482422"
56150798,"-11.760000228881836",6,0,0,2,1,"82.55999755859375","94.31999969482422"
56139094,"-21.079999923706055",6,0,0,2,1,"410.7799987792969","431.8599853515625"
56132120,"-5.230000019073486",6,0,0,1,1,"132.67999267578125","137.91000366210938"
56126532,"-11.460000038146973",6,0,0,2,1,"203.1199951171875","214.5800018310547"
56121340,"-12.630000114440918",6,0,0,1,1,"283.6000061035156","296.2300109863281"
56119877,"1.3300000429153442",6,0,0,2,1,"732.1500244140625","730.8200073242188"
56110109,"-1.159999966621399",6,0,0,1,1,"243.67999267578125","244.83999633789062"
56105929,"-10.4399995803833",6,0,0,1,1,"285.6700134277344","296.1099853515625"
56102277,"-15.479999542236328",6,0,0,1,1,"164.52000427246094",180
56101760,"-44.20000076293945",12,0,0,1,2,"219.0399932861328","263.24000549316406"
56098911,"-3.309999942779541",6,0,0,2,1,"544.9099731445312","548.219970703125"
56086690,"12.899999618530273",12,0,0,1,2,"381.79998779296875","368.8999938964844"
56074832,"-13.550000190734863",6,0,0,1,1,"93.08000183105469","106.62999725341797"
56073369,"0.4399999976158142",6,0,0,1,1,"296.5899963378906","296.1499938964844"
56070663,"-9.789999961853027",6,0,0,1,1,"84.72000122070312","94.51000213623047"
56060939,"-15.109999656677246",6,0,0,1,1,"235.6699981689453","250.77999877929688"
56052854,"-12",12,0,0,1,2,"332.02000427246094","344.02000427246094"
56052370,"-11.889999866485596",12,0,0,1,2,"270.9800033569336","282.87000274658203"
56050852,"-6",6,0,0,1,1,155,161
56045693,"-16.100000381469727",6,0,0,1,1,"241.22000122070312","257.32000732421875"
56043141,"-5.96999979019165",6,0,0,1,1,"175.02999877929688",181
56038741,"0.4399999976158142",6,0,0,1,1,"169.61000061035156","169.1699981689453"
56030689,"-23.540000915527344",6,0,0,1,1,"71.69999694824219","95.23999786376953"
56030491,"-6.050000190734863",6,0,0,1,1,"45.459999084472656","51.5099983215332"
56024683,"-22.890000343322754",12,0,0,1,2,"366.3400115966797","389.22999572753906"
56019733,"-15.460000038146973",6,0,0,1,1,"176.6699981689453","192.1300048828125"
56009360,"-3.9000000953674316",6,0,0,1,1,"43.2599983215332","47.15999984741211"
56008150,"-6.46999979019165",6,0,0,1,1,"43.380001068115234","49.849998474121094"
56007622,"-6",6,0,0,1,1,"69.38999938964844","75.38999938964844"
56006676,"0.949999988079071",6,0,0,2,1,"278.9700012207031","278.0199890136719"
56005026,"-45.47999954223633",6,0,0,4,1,"209.44000244140625","254.9199981689453"
56003288,"1.159999966621399",6,0,0,2,1,"217.3800048828125","216.22000122070312"
56000813,"-12.40999984741211",6,0,0,1,1,"283.55999755859375","295.9700012207031"
56000406,"-41.31999969482422",6,0,0,2,1,"576.5399780273438","617.8599853515625"
55998910,"0.5799999833106995",6,0,0,1,1,"88.04000091552734","87.45999908447266"
55990022,"-19.329999923706055",6,0,0,2,1,"206.1699981689453","225.5"
55985963,"-5.940000057220459",6,0,0,1,1,"175.05999755859375",181
55983785,"-23.1200008392334",6,0,0,4,1,"410.9200134277344","434.0400085449219"
55981068,"-8.1899995803833",6,0,0,1,1,"317.2900085449219","325.4800109863281"
55977702,"-24.479999542236328",6,0,0,2,1,"200.74000549316406","225.22000122070312"
55977515,"-6",6,0,0,1,1,"75.12000274658203","81.12000274658203"
55969947,"-17.459999084472656",6,0,0,1,1,"111.20999908447266","128.6699981689453"
55969221,"-7.949999809265137",6,0,0,1,1,"176.97000122070312","184.9199981689453"
55962005,"-14.920000076293945",12,0,0,1,2,"269.4599914550781","284.3800048828125"
55960696,"43.06999969482422",6,0,0,4,1,"296.1199951171875","253.0500030517578"
55959079,"-6.099999904632568",6,0,0,1,1,"34.47999954223633","40.58000183105469"
55957682,"-25.43000030517578",6,0,0,1,1,"78.41999816894531","103.8499984741211"
55953689,"-16.559999465942383",6,0,0,1,1,"273.5","290.05999755859375"
55950840,"-5.820000171661377",6,0,0,1,1,"68.87999725341797","74.69999694824219"
55950059,"30.200000762939453",6,0,0,1,1,"91.4000015258789","61.20000076293945"
55949388,"-23.270000457763672",6,0,0,2,1,"633.510009765625","656.780029296875"
55948706,"0.5899999737739563",6,0,0,1,1,"88.12000274658203","87.52999877929688"
55943305,"-21.1200008392334",6,0,0,1,1,"188.16000366210938","209.27999877929688"
